name_native	alt_names
咖喱焗大虾	
咖喱焗珍宝蟹	
咖喱焗肉蟹	
咖喱焗鲟	
咖喱蒸牛肚	
咖喱肉	
咖喱肉松煸大豆芽	
咖喱虾	
咖喱蟹煲	
咭汁鱼片	
咸鱼蒸肉饼	
咸鸭蛋	
啤酒鸡	
四喜丸子	
四宝菌烧素鸡	
四川樟茶鸭(配荷叶饼)	
四川辣子鸡	
回锅羊肉	
回锅肉片	
土豆炒牛柳条	
圣女果	
地瓜烧肉	
堂煎贵族牛肉（制作方法：黑 椒汁、云呢拿汁）	
夏威夷木瓜炖翅	
多宝鱼（清蒸/豉汁蒸/过桥）	
大千鸡片	
大扇贝（蒜茸粉丝蒸/豆豉蒸/ 剁椒芋丝蒸）	
大拉皮	
大煮干丝	
大盘麻辣鸡	
大蒜烧白鳝	
大蒜羊仔片	
天麻炖乳鸽	
夫妻肺片	
夫妻肺片	
夹沙肉	
奇异果炒花枝	
奶油焗龙虾	
奶油石头焗生中虾	
姜丝鱼片	
姜汁皮蛋	
姜汁蛰皮	
姜汁鲜鱿	
姜葱炒龙虾	
姜葱爆牛肉	
姜葱酥炸生蠔	
姜葱霸皇鸡	
子姜牛肉	
子姜肉	
子姜鸡	
子姜鸭	
子罗炒鸡片	
孜然寸骨	
孜然烤牛肉	
孜然羊肉	
孜然辣汁焖牛腩	
客家盐焗鸡	
宫保凤尾虾	
宫保大虾肉	
宫保带子	
宫保虾仁	
宫保虾球	
宫保鱿鱼	
宫保鲜带子	
宫保鸡丁	
家常烧蹄筋	
家常皮冻	
家常臊子海参	
家常鱼头锅	
家乡小炒皇	
家乡小炒肉	
家乡鳝鱼	
富贵鸡	
小炒脆骨	
小炒腊牛肉	
小炒黑山羊	
小笋烧牛肉	
小笼包	xiaolongbao, tangbao, tang bao
小鱼花生	
小黄瓜蘸酱	
尖椒炒肥肠	
尖椒里脊丝	
尖椒香芹牛肉丝	
山东浓汁鱼翅捞饭	
山城血旺	
山椒凤爪	
山椒木耳	
山药牛肉片	
山菌时蔬钵	
山菌烧豆腐	
川东少妇鸡	
川北凉粉	
川北牛尾	
川味小炒	
川味石斑球	
川味红汤鸡	
川味香肠	
川式煎鹅肝	
川式红烧肉	
川式红烧鱼翅	
川归烧酒虾	
川汁烧白鳝	
川汁牛柳	
川菜白灵菇皇	
巧拌海茸	
巴蜀小炒鸡	
干拌牛舌	
干拌顺风	
干火焅大虾	
干炸多春鱼	
干烧大虾	
干烧桂鱼	
干烧牙片鱼	
干烧牛肉	
干烧虾仁	
干烧虾球	
干烧鸡	
干焅鱼翅	
干煎带鱼	
干煎龙利	
干煸小猪腰	
干煸牛柳丝	
干煸牛肉丝	
干羊肉野山菌	
干葱豆豉鸡煲	
干豆角回锅肉	
干豇豆炖猪蹄	
干贝炖烧翅	
干贝芥菜鸡锅	
干贝鲜腐竹草菇	
干锅手撕鸡	
干锅排骨鸡	
干锅肥肠	
干锅茶树菇	
干锅辣猪手	
干锅香辣虾	
干锅鸡	
干锅鸡胗	
干锅黄牛肉	
广州文昌鸡	
当归鸭卷	
当红炸子鸡	
彩椒炒火鸭柳	
彩椒牛柳	
德州扒鸡	
怪味海参	
怪味牛腱	
怪味猪手	
怪味鸡丝	
扁豆肉丝	
手扒羊排	
手抓琵琶骨	
扒四宝	
扒芥香鸡胸	
扒鱼肚油菜心	
扒鱼肚白菜心	
扒鲍鱼菜心	
扒鸡腿	
扣碗牛肉	
扬州凤鹅	
拆烤羊腿肉	
拌八爪鱼	
拌双耳	
拌爽口海苔	
拌牦牛耳	
拌猪头肉	
拌苦菜	
拌茄泥	
拌豆腐丝	
拌野菜	
拌香椿苗	
拌鲜核桃仁	
拌鸵鸟筋	
拌黑木耳	
提篮鹿肉	
支竹羊肉煲	
方竹笋炖肉	
无锡排骨	
无骨排	
时菜炒牛肉	
时菜炒鸡片	
时菜炒鸽脯	
时菜鹑蛋	
时蔬鸡片	
明炉烧鸭	
明虾荔枝沙拉	
春卷	chunjuan, chun juan
春芽豆腐丝	
朝鲜辣白菜/朝鲜泡菜	
木瓜海虎翅	
木瓜炖翅	
木瓜腰豆煮海参	
木瓜鱼翅	
木耳肉片	
木耳过油肉	
木须肉	
木须鸡	
杏仁百花脆皮鸡	
杏香橙花鸡脯	
杭州风鹅	
杭椒牛柳	
杭椒虾爆鳝	
松仁香菇	
松子香菇	
松田青豆	
松茸扒鹅肝	
松茸烩鱼翅	
板栗烧鳝段	
板栗焖仔鸡	
板栗红烧肉	
果仁生汁脆皮虾球	
果汁银元带子	
枣生栗子鸡	
枸杞凉瓜	
枸杞浓汁烩凤筋	
枸杞蒸裙边	
柠檬牛肉	
柠檬虾球	
柠檬鸡	
柴把鸭	
核桃 虾球	
桂花山药	
桂花炒干贝	
桂花炒珍宝蟹	
桂花炒肉蟹	
桂花炒鱼翅	
桂花糯米藕	
桂鱼（干烧/清蒸/酸汤/椒盐）	
桂鱼（清蒸/水煮/干烧/红烧）	
桂鱼（清蒸/油浸/松子炸)	
梅樱小炒皇	
椒子肥牛片	
椒盐吊片	
椒盐基围虾	
椒盐大虾球	
椒盐头爪	
椒盐排骨	
椒盐有头虾	
椒盐炸排条	
椒盐牛仔骨	
椒盐肉排	
椒盐蟹	
椒盐鱿鱼	
椒盐鳕鱼	
椒盐鸡	
椒絲腐乳通菜	椒絲腐乳通菜
椒香鳝段	
椒麻鹌鹑腿	
榄仁炒鱼环	
榄菜肉菘炒四季豆	
榨菜牛肉	
樱桃汁煎鸭胸	
樱桃萝卜蘸酱	
毛家红烧肉	
水晶肘	
水晶萝卜	
水晶虾仁	
水晶鱼冻	
水晶鸭宝	
水晶鸭舌	
水晶鹅肝	
水果沙拉	
水煮牛肉	
水煮鱼	
水煮鹿里脊	
汁烧鸡肉	
江南百花鸡	
江米酿鸡	
汽锅虫草炖老鸭	
汽锅鸡翅	
沙姜焗软鸡	
沙茶鸡煲	
沸腾鱼	
沸腾鱼	
油泼鸭心	
油焖香菇	
油爆虾	yuo bao xia
油爆鳝糊	油爆鱔糊
油面筋酿肉	
沾水牛肉	
泡椒凤爪	
泡椒牛蛙	
泡椒甲鱼	
泡椒鸭丝	
泡椒鸭翅	
泡菜什锦	
泡菜鱼翅羹	
泡萝卜炒肉丝	
泰式煮什菌	
洋葱牛柳丝	
浓汁三鲜	
浓汁三鲜鱼翅	
浓汁四宝鱼翅	
浓汁木瓜鱼肚	
浓汁鱼唇	
浓汁鱼肚	
浓汁鲍丝翅	
浓汁鲍鱼	
浓汤四宝	
浓汤裙边	
浓汤鱼丸煮山菌	
浓汤鱼唇	
浓汤鱼肚烩散翅	
浓汤鸡火翅	
浓汤鸡煲翅（供3－5人用）	
海参过油肉	
海参锅巴	
海参鹅掌煲	
海竹笙煮双鲜	
海虎翅	
海鲜大煲翅	
海鲜汁扒大虾	
海鲜盅	
海鲜粉丝煲	
海鲜脆皮豆腐	
海鲜豆腐	
涮羊肉	
淮山圆肉炖甲鱼	
淮杞爆乳鸽	
清汤干贝鲜蘑	
清汤牛丸腩	
清汤竹荪海参	
清汤蟹肉	
清炒大龙虾	
清炒水晶河虾仁	
清炒虾仁	
清炒贝仁	
清炒鲍贝	
清炒鳝糊	
清炖甲鱼汤	
清炖羊肉	
清炸里脊	
清蒸全鸡	
清蒸全鸭	
清蒸大闸蟹	shanghai hairy crab
清蒸大闸蟹	
清蒸桂鱼	
清蒸武昌鱼	
清蒸火腿鸡片	
清蒸猪脑	
清蒸甲鱼	
清蒸白鳝	
清蒸石斑(桂鱼/左口鱼/鲈鱼/加 吉鱼/鳟鱼)	
清蒸石斑鱼	
清蒸童子鸡	
清蒸蒜蓉带子	
清蒸闸蟹	
清蒸龙利	
清蛋牛肉	
清香苦苣	
温拌腰片	
港式脆皮虾	
湖南牛肉	
湖南虾	
湖南鸡	
湘味回锅肉	
溜丸子	
溜肚块	
滑溜里脊片	
潮州烧雁鹅	
潮式凉瓜排骨	
潮式椒酱肉	
澳带烩鱼肚	
澳洲龙虾（刺身/上汤焗/椒 盐）	
